lat,lng,mag
-95.688348,29.785465,1
-95.688338,29.786069,1
-95.688338,29.786069,1
-95.688335,29.789453,1
-95.688335,29.789453,1
-95.688335,29.789453,1
-95.688332,29.787935,1
-95.688332,29.789167,1
-95.688332,29.789167,1
-95.688328,29.786145,1
-95.688324,29.788182,1
-95.687025,29.797263,1
-95.68637,29.785488,1
-95.686295,29.78548,1
-95.686149,29.78548,1
-95.686149,29.78548,1
-95.686149,29.78548,1
-95.686149,29.78548,1
-95.686149,29.78548,1
-95.686149,29.78548,1
-95.684209,29.785484,1
-95.684155,29.793015,1
-95.684155,29.793015,1
-95.684048,29.793576,1
-95.683316,29.784393,1
-95.683252,29.796216,1
-95.682695,29.723534,1
-95.682621,29.788908,1
-95.682157,29.785509,1
-95.681886,29.788906,1
-95.680708,29.788907,1
-95.680677,29.785476,1
-95.678577,29.784533,1
-95.67754,29.784546,1
-95.676655,29.789365,1
-95.676655,29.789381,1
-95.673641,29.784533,1
-95.673058,29.789369,1
-95.672475,29.784528,1
-95.6722,29.785609,1
-95.670679,29.787023,1
-95.670679,29.787023,1
-95.669169,29.789337,1
-95.66887,29.784507,1
-95.66887,29.784507,1
-95.66887,29.784507,1
-95.66887,29.784507,1
-95.66887,29.784507,1
-95.66887,29.784507,1
-95.66887,29.784507,1
-95.668434,29.784505,1
-95.667941,29.786684,1
-95.667156,29.78664,1
-95.666668,29.784799,1
-95.666062,29.786689,1
-95.664687,29.785431,1
-95.664687,29.785431,1
-95.664066,29.78895,1
-95.662841,29.784482,1
-95.662841,29.784482,1
-95.662797,29.786763,1
-95.66277,29.784482,1
-95.66277,29.784482,1
-95.66277,29.784482,1
-95.66277,29.784482,1
-95.66277,29.784482,1
-95.66277,29.784482,1
-95.66277,29.784482,1
-95.66277,29.784482,1
-95.66277,29.784482,1
-95.66277,29.784482,1
-95.661974,29.784485,1
-95.661932,29.784474,1
-95.661932,29.784474,1
-95.661179,29.786465,1
-95.660995,29.785365,1
-95.660121,29.876751,1
-95.659324,29.785354,1
-95.659324,29.785354,1
-95.659324,29.785354,1
-95.659324,29.785354,1
-95.659324,29.785354,1
-95.659183,29.787314,1
-95.659183,29.787314,1
-95.659183,29.787314,1
-95.659183,29.787314,1
-95.658937,29.789153,1
-95.658797,29.78917,1
-95.658656,29.789187,1
-95.658116,29.786646,1
-95.658116,29.786646,1
